GEOID,ALAND,AWATER,ALAND_SQMI,AWATER_SQMI,INTPTLAT,INTPTLONG
1749,29843256.0,888431.0,11.523,0.343,42.389071,-71.545864
1752,54039298.0,3201505.0,20.865,1.236,42.349617,-71.547214
1754,13487658.0,407087.0,5.208,0.157,42.425955,-71.456256
1756,46029786.0,552531.0,17.772,0.213,42.09387,-71.544519
1757,38578113.0,706013.0,14.895,0.273,42.158692,-71.521419
1760,38367783.0,2596509.0,14.814,1.003,42.284822,-71.348811
1770,40897127.0,957827.0,15.79,0.37,42.231947,-71.372963
1772,35233798.0,3917459.0,13.604,1.513,42.302877,-71.530828
1773,35277802.0,2009140.0,13.621,0.776,42.425506,-71.310812
1775,44856759.0,1752517.0,17.319,0.677,42.429688,-71.512514
1776,62784347.0,1256070.0,24.241,0.485,42.383367,-71.42107
1778,39390192.0,2068791.0,15.209,0.799,42.356275,-71.361942
1801,32765549.0,802750.0,12.651,0.31,42.488769,-71.154438
1803,30301535.0,323480.0,11.699,0.125,42.503227,-71.201713
1810,79843645.0,3436401.0,30.828,1.327,42.648044,-71.161751
1821,42906792.0,1018583.0,16.566,0.393,42.54933,-71.251725
1824,45973425.0,1007606.0,17.75,0.389,42.59079,-71.355182
1826,53528320.0,1714783.0,20.667,0.662,42.679723,-71.30068
1827,42608633.0,783541.0,16.451,0.303,42.676149,-71.499772
1830,35802325.0,3346022.0,13.823,1.292,42.796313,-71.053436
1832,29527380.0,1251737.0,11.401,0.483,42.791114,-71.132859
1833,33301966.0,750836.0,12.858,0.29,42.726188,-70.983328
1834,23000422.0,1337626.0,8.881,0.516,42.7539,-71.015935
1835,20231060.0,2291968.0,7.811,0.885,42.751233,-71.0943
1840,1290418.0,200629.0,0.498,0.077,42.706763,-71.160403
1841,7998544.0,464106.0,3.088,0.179,42.712015,-71.164873
1843,8733380.0,630617.0,3.372,0.243,42.689974,-71.160383
1844,57523295.0,2026687.0,22.21,0.783,42.742526,-71.179149
1845,68071736.0,3711232.0,26.283,1.433,42.673909,-71.091334
1850,3521441.0,305903.0,1.36,0.118,42.656045,-71.303309
1851,8648794.0,116111.0,3.339,0.045,42.627812,-71.33533
1852,12830680.0,627317.0,4.954,0.242,42.632972,-71.295613
1854,10190205.0,1393282.0,3.934,0.538,42.649481,-71.348229
1860,22002287.0,1031929.0,8.495,0.398,42.838603,-71.011997
1862,23932088.0,1076076.0,9.24,0.415,42.578543,-71.295592
1863,11964688.0,841576.0,4.62,0.325,42.63378,-71.38947
1864,34018344.0,942984.0,13.135,0.364,42.578222,-71.084398
1867,25783297.0,37035.0,9.955,0.014,42.535183,-71.105423
1876,52994457.0,933248.0,20.461,0.36,42.611801,-71.227571
1879,43521843.0,3642315.0,16.804,1.406,42.667762,-71.42882
1880,17894085.0,1396459.0,6.909,0.539,42.501524,-71.067489
1886,78334902.0,2896637.0,30.245,1.118,42.585541,-71.44025
1887,43964358.0,469152.0,16.975,0.181,42.564647,-71.164516
1890,15629758.0,811600.0,6.035,0.313,42.452752,-71.144319
